"Name","Type","Obligatory","Default","Comments"
"lat","F","Yes","-","Latitude, in decimal degrees, south is negative."
"lon","F","Yes","-","Longitude, in decimal degrees, west is negative."
"usehorizon","I","No","1","Calculate taking into account shadows from high horizon. Value of 1 for ""yes""."
"userhorizon","L","No","-","Height of the horizon at equidistant directions around the point of interest, in degrees. Starting at north and moving clockwise. The series '0,10,20,30,40,15,25,5' would mean the horizon height is 0° due north, 10° for north-east, 20° for east, 30° for south-east, etc."
"raddatabase","T","No","Name of the radiation database (DB): ""PVGIS-SARAH"" for Europe, Africa and Asia or ""PVGIS-NSRDB"" for the Americas between 60°N and 20°S, ""PVGIS-ERA5"" and ""PVGIS-COSMO"" for Europe (including high-latitudes), and ""PVGIS-CMSAF"" for Europe and Africa (will be deprecated). The default DBs are PVGIS-SARAH, PVGIS-NSRDB and PVGIS-ERA5 based on the chosen location.",""
"startyear","I","No","year_min(DB)","First year of the output of hourly averages. Availability varies with the"
"endyear","I","No","year_max(DB)","Final year of the output of hourly averages. Availability varies with the"
"pvcalculation","I","No","0","If ""0"" outputs only solar radiation calculations, if ""1"" outputs the estimation of hourly PV production as well."
"peakpower","F","if pvcalculation","-","Nominal power of the PV system, in kW."
"pvtechchoice","T","No","""crystSi""","PV technology. Choices are: ""crystSi"", ""CIS"", ""CdTe"" and ""Unknown""."
"mountingplace","T","No","""free""","Type of mounting of the PV modules. Choices are: ""free"" for free-standing and ""building"" for building-integrated."
"loss","F","if pvcalculation","-","Sum of system losses, in percent."
"trackingtype","I","No","0","Type of suntracking used, 0=fixed, 1=single horizontal axis aligned north-south, 2=two-axis tracking, 3=vertical axis tracking, 4=single horizontal axis aligned east-west, 5=single inclined axis aligned north-south."
"angle","F","No","0","Inclination angle from horizontal plane. Not relevant for 2-axis tracking."
"aspect","F","No","0","Orientation (azimuth) angle of the (fixed) plane, 0=south, 90=west, -90=east. Not relevant for tracking planes."
"optimalinclination","I","No","0","Calculate the optimum inclination angle. Value of 1 for ""yes"". All other values (or no value) mean ""no"". Not relevant for 2-axis tracking."
"optimalangles","I","No","0","Calculate the optimum inclination AND orientation angles. Value of 1 for ""yes"". All other values (or no value) mean ""no"". Not relevant for tracking planes."
"components","I","No","0","If ""1"" outputs beam, diffuse and reflected radiation components. Otherwise, it outputs only global values."
"outputformat","I","No","""csv""","Type of output. Choices are: ""csv"" for the normal csv output with text explanations, ""basic"" to get only the data output with no text, and ""json""."
"browser","I","No","0","Use this with a value of ""1"" if you access the web service from a web browser and want to save the data to a file."
