"Name","Type","Obligatory","Default","Comments"
"lat","F","Yes","-","Latitude, in decimal degrees, south is negative.",""
"lon","F","Yes","-","Longitude, in decimal degrees, west is negative.",""
"usehorizon","I","No","1","Calculate taking into account shadows from high horizon. Value of 1 for ""yes"".",""
"userhorizon","L","No","-","Height of the horizon at equidistant directions around the point of interest, in degrees. Starting at north and moving clockwise. The series '0,10,20,30,40,15,25,5' would mean the horizon height is 0° due north, 10° for north-east, 20° for east, 30° for south-east, etc.",""
"raddatabase","T","No","","Name of the radiation database (DB): ""PVGIS-SARAH"" for Europe, Africa and Asia or ""PVGIS-NSRDB"" for the Americas between 60°N and 20°S, ""PVGIS-ERA5"" and ""PVGIS-COSMO"" for Europe (including high-latitudes), and ""PVGIS-CMSAF"" for Europe and Africa (will be deprecated). The default DBs are PVGIS-SARAH, PVGIS-NSRDB and PVGIS-ERA5 based on the chosen location (see Figure xx).","default DB"
"startyear","I","No","year_min(DB)","First year of the output of monthly averages. Availability varies with the  of the radiation DB chosen. The default value is the first year of the DB.","temporal coverage"
"endyear","I","No","year_max(DB)","Final year of the output of monthly averages. Availability varies with the  of the radiation DB chosen. The default value is the last year of the DB.","temporal coverage"
"horirrad","I","No","0","Output horizontal plane irradiation. Value of 1 for ""yes"". All other values (or no value) mean ""no"".",""
"optrad","I","No","0","Output annual optimal angle plane irradiation. Value of 1 for ""yes"". All other values (or no value) mean ""no"".",""
"selectrad","I","No","0","Output irradiation on plane of selected inclination. Value of 1 for ""yes"". All other values (or no value) mean ""no"".",""
"angle","F","No","0","Inclinatio","Example of the minimum usage:"
"mr_dni","I","No","0","Output direct normal irradiation. Value of 1 for ""yes"". All other values (or no value) mean ""no"".",""
"d2g","I","No","0","Output monthly values of the ratio of diffuse to global radiation (horizontal plane). Value of 1 for ""yes"". All other values (or no value) mean ""no"".",""
"avtemp","I","No","0","Output monthly average values of daily (24h) temperature. Value of 1 for ""yes"". All other values (or no value) mean ""no"".",""
"outputformat","T","No","""csv""","Type of output. Choices are: ""csv"" for the normal csv output with text explanations, ""basic"" to get only the data output with no text, and ""json"".",""
"browser","I","No","0","Use this with a value of ""1"" if you access the web service from a web browser and want to save the data to a file.",""
