Name,Type,Obligatory,Default,Comments
lat,F,Yes,-,"Latitude, in decimal degrees, south is negative."
lon,F,Yes,-,"Longitude, in decimal degrees, west is negative."
usehorizon,I,No,1,"Calculate taking into account shadows from high horizon. Value of 1 for ""yes""."
userhorizon,L,No,-,"Height of the horizon at equidistant directions around the point of interest, in degrees. Starting at north and moving clockwise. The series '0,10,20,30,40,15,25,5' would mean the horizon height is 0° due north, 10° for north-east, 20° for east, 30° for south-east, etc."
raddatabase,T,No,"default DB","Name of the radiation database. ""PVGIS-SARAH"" for Europe, Africa and Asia or ""PVGIS-NSRDB"" for the Americas between 60°N and 20°S, ""PVGIS-ERA5"" and ""PVGIS-COSMO"" for Europe (including high-latitudes), and ""PVGIS-CMSAF"" for Europe and Africa (will be deprecated)"
peakpower,F,Yes,-,"Nominal power of the PV system, in W."
angle,F,No,0,"Inclination angle from horizontal plane of the (fixed) PV system."
aspect,F,No,0,"Orientation (azimuth) angle of the (fixed) PV system, 0=south, 90=west, -90=east."
batterysize,F,Yes,-,"This is the size, or energy capacity, of the battery used in the off-grid system, measured in watt-hours (Wh)."
cutoff,F,Yes,-,"Batteries cutoff in %. The cutoff is imposed so that the battery charge cannot go below a certain percentage of full charge."
consumptionday,F,Yes,-,"Energy consumption of all the electrical equipment connected to the system during a 24 hour period (Wh)"
hourconsumption,L,No,-,"List of 24 comma separated values with the hourly consumption. The values in the file should be the fraction of the daily consumption that takes place in each hour, with the sum of the numbers equal to 1. The daily consumption profile should be defined for the standard local time, without consideration of daylight saving offsets if relevant to the location."
outputformat,T,No,"""csv""","Type of output. Choices are: ""csv"" for the normal csv output with text explanations, ""basic"" to get only the data output with no text, and ""json""."
browser,I,No,0,"Use this with a value of ""1"" if you access the web service from a web browser and want to save the data to a file."
